kecamatan,year,ir,jumlah_kasus,curah_hujan,kelembapan,temperature,kepadatan_penduduk,jumlah_penduduk,ir_z_score,curah_hujan_z_score,kelembapan_z_score,temperature_z_score,kepadatan_penduduk_z_score,cluster,risk_category
Garut Kota,2024,94.08194233687404,124,251.76455199435563,87.72777620804574,21.519075873044187,4757,131800,-0.1281291195396811,0.2162166459276119,0.6112835742178485,-0.2691483356823919,2.7950159542860105,1,Sedang
Kadungora,2024,137.9668049792531,133,230.276844209905,86.8170361945461,22.22403935696973,2584,96400,0.2801013199216791,-1.0171054795720942,-0.4271600536606652,0.1942993997235965,0.9908322464475304,1,Sedang
Karangpawitan,2024,185.9673024523161,273,264.57703130907487,87.96770044998641,21.621447552276063,2820,146800,0.7266166556873538,0.9516098474670264,0.8848499010771352,-0.2018485052776555,1.1867767264520777,0,Rendah
Karangtengah,2024,20.304568527918786,4,264.92297434762247,88.32888810225286,21.54840890571028,847,19700,-0.8144288575101515,0.971465813858756,1.296683147014394,-0.2498646027349904,-0.4513523373147524,0,Rendah
Kersamanah,2024,187.192118226601,76,235.12829884295897,86.9439452816883,21.7791031876698,2463,40600,0.7380102673267505,-0.738648307693884,-0.2824558231346782,-0.0982046302922995,0.8903691867841819,1,Sedang
Leles,2024,31.746031746031747,28,239.48875427635,86.97399462638725,21.391915532220164,1200,88200,-0.7079968607719243,-0.4883728377739055,-0.24819297088045,-0.3527443989283735,-0.1582658905282896,1,Sedang
Leuwigoong,2024,182.18623481781376,90,234.72465017218084,87.13476104447408,21.95278202734904,2554,49400,0.6914440059597133,-0.7618163832091075,-0.0648839474879237,0.0159730069508021,0.9659240498367828,1,Sedang
Malangbong,2024,136.7959034381858,187,242.00073528418903,86.57118988722594,22.102922439130392,1480,136700,0.2692092350000256,-0.3441935801778564,-0.7074788356290496,0.114676323391429,0.0742106111720207,1,Sedang
Mekarmukti,2024,25.51020408163265,5,230.4763294057493,86.94205661115775,24.256401415039782,355,19600,-0.7660044404831261,-1.0056557005536697,-0.2846093223205465,1.5303878848927115,-0.859846761731012,2,Tinggi
Pakenjeng,2024,25.459688826025456,18,253.6774459157804,87.2457385240051,22.84623400690035,356,70700,-0.7664743488696255,0.3260103205574524,0.0616547515357166,0.6033343470181478,-0.8590164885106538,0,Rendah
Pameungpeuk,2024,24.444444444444443,11,228.6726368321513,84.71995455147932,25.34350149785026,1019,45000,-0.7759184631974043,-1.1091815852563498,-2.818293678080675,2.2450547903793936,-0.3085453434131331,2,Tinggi
Pamulihan,2024,0.0,0,268.6328006982106,87.59823969542389,20.582374152808445,146,19400,-1.0033081756653155,1.1843973636471008,0.4635835016220778,-0.884942346142087,-1.0333738647858866,0,Rendah
Pangatikan,2024,24.774774774774777,11,258.27794003211545,88.18524078485954,21.600692689103024,2250,44400,-0.7728456292451351,0.5900632032019706,1.1328936580297948,-0.215492891909775,0.7135209908478743,0,Rendah
